,뉴스제목,주가변동
0,글로벌 큰손들 '검은 연기 내뿜는 기업' 투자 외면,0
1,"[특징주]한국바이오젠, 日 수출규제 속 국내 유일 실리콘 합성기술 보유 부각…공모가 상회",0
2,한국증시도 실망… 변동성 커졌다 [美 기준금리 0.25%P 인하],0
3,"[특징주] 첨생법, 국회 법사위 통과…관련株 강세",0
4,[유튜브 이대로 좋은가]③수익 관리감독 사각지대?,0
5,"코스피, 외인·기관 동반 순매도에 2010선 위협… 코스닥 620선",0
6,[줌인]감정 싸움된 에스엠 주주서한…본질 두고 엇갈린 해석,0
7,오전장 기술적 분석 특징주 A(코스닥),0
8,[유튜브 이대로 좋은가]②어린이 직접 광고 금지...보람튜브는 왜?,0
9,[뉴욕증시] 연준 추가 인하 힌트 기다리던 월가 '실망',0
10,증시요약(10) - 기술적 분석 특징주 B(코스닥),0
11,[코스피 마감]파월에 실망한 증시…2020선 내줘,0
12,"""전망 밝은 '자동차·증권·반도체'로 8월 코스피 반등 대비""",0
13,[Bio톡스] 국회 통과 앞둔 '첨생법'…“재생의료 관련주 수혜 기대”,0
14,증시요약(9) - 기술적 분석 특징주 A(코스닥),0
15,"금리인하·호실적 전망에도 '증시 부진', 힘 못쓰는 증권주",0
16,오후장 기술적 분석 특징주 A(코스닥),0
17,"[굿모닝 증시]“한국 6월 산업활동, 경기 바닥 확인 시점 지연”",0
18,오후장 특징주★(코스닥),0
19,전일대비 거래량 급증 종목(코스닥),0
20,실적 확인한 제약株…신약개발 모멘텀 딛고 반등,0
21,오전장 기술적 분석 특징주 B(코스닥),0
22,"코스피, 이틀 연속 내리며 2010선 후퇴… 코스닥 620선",0
23,"[특징주]보령메디앙스, '애국테마주' 전망에 급등",0
24,"[특징주] 제일약품 ""표적항암제, 기존 美 FDA 승인 신약보다 효과 탁월""…신약 가치 '↑'",0
25,바이오 주주분들 희소식입니다,0
26,코스닥 상승률 상위 50종목,0
